Salary,Age,Profession
65862.0,20.0,2
76256.0,37.0,2
65544.0,24.0,1
83043.0,49.0,2
67224.0,28.0,3
87747.0,56.0,2
76300.0,39.0,1
86759.0,59.0,2
76656.0,36.0,2
78831.0,43.0,1
83357.0,61.0,3
61335.0,19.0,1
80916.0,42.0,2
73083.0,36.0,3
65547.0,22.0,1
83626.0,52.0,1
81773.0,46.0,2
73551.0,33.0,1
72515.0,33.0,3
66508.0,24.0,3
80293.0,48.0,1
84393.0,64.0,3
85037.0,53.0,2
70340.0,31.0,1
83023.0,50.0,1
75201.0,33.0,2
74379.0,33.0,2
68126.0,20.0,2
71139.0,25.0,2
88705.0,64.0,2
73457.0,31.0,2
77580.0,39.0,2
81703.0,56.0,3
73555.0,30.0,2
81415.0,40.0,2
77701.0,43.0,1
85245.0,59.0,1
70152.0,25.0,2
82282.0,45.0,2
65202.0,22.0,1
85232.0,57.0,2
87860.0,59.0,2
75492.0,39.0,3
75541.0,30.0,2
83480.0,49.0,2
80971.0,52.0,3
73817.0,35.0,3
84515.0,53.0,2
81111.0,46.0,1
80638.0,48.0,3
68406.0,23.0,2
79184.0,41.0,2
80629.0,46.0,1
85438.0,56.0,2
78581.0,44.0,3
87371.0,59.0,2
80864.0,49.0,3
78342.0,39.0,2
81074.0,44.0,2
84502.0,62.0,3
82876.0,50.0,2
74616.0,30.0,2
77855.0,43.0,3
82368.0,54.0,3
82055.0,52.0,3
89985.0,64.0,2
85192.0,63.0,1
85493.0,51.0,2
86230.0,54.0,2
85409.0,60.0,3
84199.0,48.0,2
76659.0,33.0,2
76636.0,39.0,1
69171.0,22.0,2
70550.0,25.0,2
85295.0,51.0,2
79701.0,41.0,2
82475.0,54.0,1
62877.0,18.0,2
77096.0,37.0,1
87105.0,61.0,1
82162.0,46.0,1
76291.0,33.0,2
86842.0,55.0,2
64749.0,22.0,3
81113.0,50.0,1
80928.0,42.0,2
86365.0,59.0,1
90249.0,65.0,2
64017.0,18.0,2
83352.0,46.0,2
81937.0,51.0,1
80406.0,44.0,1
81578.0,52.0,1
69251.0,23.0,2
72994.0,36.0,3
78915.0,48.0,1
84027.0,51.0,2
65417.0,19.0,2
84721.0,57.0,3
72953.0,30.0,2
77752.0,42.0,1
80291.0,45.0,1
78850.0,40.0,1
73965.0,30.0,1
80889.0,49.0,3
66610.0,23.0,1
82479.0,45.0,2
85376.0,64.0,1
85297.0,56.0,2
85274.0,51.0,2
77930.0,39.0,1
79866.0,47.0,3
72672.0,31.0,1
71080.0,32.0,1
83600.0,62.0,1
86158.0,54.0,2
81399.0,43.0,2
81525.0,45.0,1
76935.0,36.0,2
86256.0,63.0,3
84759.0,60.0,3
72566.0,33.0,1
75219.0,39.0,3
81626.0,52.0,1
87326.0,60.0,2
81681.0,50.0,1
84005.0,46.0,2
76565.0,41.0,3
75316.0,38.0,1
72036.0,27.0,2
74056.0,33.0,1
62586.0,20.0,1
67039.0,22.0,2
75039.0,32.0,2
83165.0,57.0,1
76434.0,36.0,2
86530.0,59.0,2
71874.0,32.0,1
77435.0,46.0,3
79535.0,43.0,1
81368.0,50.0,1
79961.0,48.0,3
84343.0,46.0,2
83950.0,48.0,2
67416.0,27.0,3
72431.0,27.0,2
66654.0,25.0,3
83772.0,58.0,1
61707.0,19.0,1
81546.0,44.0,2
85428.0,63.0,3
79110.0,43.0,2
88249.0,61.0,2
77883.0,40.0,2
85792.0,63.0,3
72855.0,30.0,2
87896.0,64.0,2
82481.0,45.0,2
75995.0,37.0,1
68032.0,22.0,2
76360.0,40.0,3
89071.0,61.0,2
80498.0,43.0,2
87426.0,59.0,2
85018.0,60.0,1
70881.0,29.0,3
78117.0,43.0,3
73386.0,35.0,3
82906.0,54.0,3
68055.0,26.0,1
89762.0,65.0,2
85161.0,61.0,1
85024.0,62.0,3
71795.0,27.0,2
70096.0,29.0,3
69790.0,24.0,2
85955.0,50.0,2
79315.0,42.0,1
85049.0,55.0,1
76406.0,44.0,3
59893.0,19.0,3
72479.0,25.0,2
82821.0,49.0,2
77684.0,44.0,1
84716.0,65.0,3
84655.0,50.0,2
79462.0,44.0,2
65185.0,20.0,2
64471.0,22.0,3
83912.0,53.0,2
77908.0,40.0,1
85285.0,50.0,2
87901.0,57.0,2
74237.0,34.0,2
76303.0,39.0,3
71390.0,32.0,3
63905.0,21.0,1
86543.0,60.0,2
68433.0,22.0,2
84588.0,51.0,2
71305.0,28.0,2
85267.0,54.0,2
67094.0,25.0,3
57850.0,18.0,3
85668.0,53.0,2
82231.0,46.0,2
84918.0,61.0,3
86127.0,55.0,2
86064.0,56.0,2
82944.0,59.0,3
89718.0,63.0,2
79265.0,38.0,2
65153.0,18.0,2
76146.0,43.0,3
78038.0,43.0,3
88639.0,61.0,2
89677.0,61.0,2
86160.0,61.0,1
78817.0,39.0,2
80836.0,54.0,1
86343.0,63.0,1
82199.0,51.0,1
87365.0,63.0,3
66309.0,24.0,3
78538.0,43.0,1
88280.0,64.0,2
83377.0,57.0,3
79644.0,42.0,2
83608.0,56.0,3
84452.0,47.0,2
63989.0,22.0,3
82130.0,46.0,2
78387.0,44.0,1
85115.0,55.0,2
85168.0,60.0,1
78314.0,34.0,2
84409.0,63.0,3
75474.0,39.0,1
72189.0,33.0,1
63050.0,20.0,3
64089.0,22.0,3
74489.0,36.0,1
67867.0,27.0,1
