Price,sqft,bedrooms,bathrooms,lot_size,area,area_n
454980,3163,6,2,14012,Downtown,2
429339,3116,3,3,17586,Downtown,2
397023,3099,4,2,11957,Suburbs,3
357468,2891,2,1.5,20041,Suburbs,3
459389,2978,5,3.5,18310,Downtown,2
398241,2867,2,3,15566,Downtown,2
462221,3006,7,3,10877,Downtown,2
406542,2985,4,3.5,10912,Suburbs,3
370223,2991,2,2,12900,Downtown,2
334531,3078,7,1,10372,Uptown,1
488433,3238,6,3.5,14984,Downtown,2
446751,3067,4,3.5,13766,Downtown,2
422386,3052,5,1,16501,Downtown,2
380569,2858,5,2.5,16601,Suburbs,3
344462,2954,6,1.5,14427,Uptown,1
456186,3047,5,3,21993,Downtown,2
337452,2768,5,2,19601,Uptown,1
313900,2874,4,1.5,9007,Uptown,1
405814,2787,3,3.5,16008,Downtown,2
424755,2943,3,4,17263,Suburbs,3
320886,3025,2,2.5,15443,Uptown,1
344391,3106,3,3,8830,Uptown,1
358799,2924,3,1.5,13262,Downtown,2
444798,2984,6,3,14570,Downtown,2
431341,2978,6,4,12922,Suburbs,3
345296,2935,6,2.5,11202,Uptown,1
414161,2978,6,1,19705,Downtown,2
416188,3091,5,1,25626,Downtown,2
445296,3012,5,2.5,17251,Downtown,2
404181,3089,6,4,14610,Uptown,1
362756,3014,3,3,20623,Uptown,1
406054,3052,5,1.5,12106,Downtown,2
347098,2948,6,1.5,16526,Uptown,1
460839,2983,7,3,13348,Downtown,2
443328,3097,4,2.5,17169,Downtown,2
322618,3061,1,3,9709,Uptown,1
409818,3128,2,2.5,15858,Downtown,2
479736,3078,7,4,10805,Downtown,2
421879,2861,5,3,15857,Downtown,2
414276,2824,7,1.5,10796,Downtown,2
379324,2954,4,1.5,17704,Suburbs,3
434983,3019,7,2,17981,Suburbs,3
356533,3215,3,1,11522,Suburbs,3
390221,3070,2,2,19448,Suburbs,3
404325,3044,2,2,15241,Downtown,2
427341,2995,5,4,13169,Suburbs,3
441541,2905,4,3,15864,Downtown,2
466083,3047,6,4,18783,Suburbs,3
438820,2933,5,2.5,21183,Downtown,2
459109,3057,6,3.5,14994,Downtown,2
448845,2998,4,4,18073,Suburbs,3
346633,3099,3,1.5,8901,Suburbs,3
462406,3003,6,3.5,13254,Downtown,2
352783,2916,3,1,9002,Downtown,2
296837,2989,3,1,14628,Uptown,1
461992,3004,7,3,15771,Downtown,2
401745,3046,4,2,15666,Downtown,2
432515,3226,7,2,16781,Suburbs,3
393455,2973,3,2.5,12168,Downtown,2
298949,2995,2,2,8787,Uptown,1
352237,2930,4,4,10393,Uptown,1
405069,2966,7,3.5,17686,Uptown,1
367810,3044,5,2.5,21213,Uptown,1
456436,3043,7,3.5,13205,Suburbs,3
399402,3118,3,2,17895,Downtown,2
419593,3122,2,2.5,17927,Suburbs,3
421533,3157,5,4,14028,Suburbs,3
357296,3172,4,2.5,14090,Uptown,1
376612,3011,4,1.5,11601,Suburbs,3
347657,3029,1,2.5,11502,Suburbs,3
411203,2913,6,2.5,14448,Suburbs,3
423122,3026,4,2,21350,Downtown,2
401278,2956,1,3.5,13404,Downtown,2
427488,2951,3,4,22381,Downtown,2
383444,2989,1,3,13138,Downtown,2
453950,3126,7,1.5,18103,Downtown,2
457382,3127,5,3,15466,Downtown,2
356130,3095,1,1.5,12929,Downtown,2
348366,2954,5,1.5,20399,Uptown,1
445107,3246,5,2,11909,Downtown,2
422009,3062,3,3,15638,Downtown,2
312936,2912,1,2,4391,Suburbs,3
417944,3143,6,1.5,20588,Suburbs,3
386253,3081,4,2,19056,Suburbs,3
451465,2839,7,3.5,22388,Suburbs,3
333467,2943,5,2,14445,Uptown,1
289991,2916,1,2,9949,Uptown,1
416481,3117,5,1.5,10997,Downtown,2
473674,3097,7,3.5,12883,Downtown,2
372800,2902,6,1.5,9671,Suburbs,3
414546,3022,4,3.5,4055,Suburbs,3
401654,3001,6,2.5,5467,Suburbs,3
357668,3134,4,3,19316,Uptown,1
459529,3013,6,3.5,8776,Downtown,2
442787,2912,5,4,10743,Downtown,2
342931,2932,3,2.5,16023,Uptown,1
335275,2930,1,3.5,8892,Uptown,1
367761,2960,2,1,14247,Downtown,2
374733,2917,3,1.5,17379,Downtown,2
368170,2981,4,3.5,13685,Uptown,1
412395,2864,3,3,13867,Downtown,2
405923,3053,4,2,22427,Suburbs,3
360959,3087,2,1.5,12094,Suburbs,3
432633,3070,7,1,23120,Suburbs,3
433878,3077,5,3,13320,Downtown,2
383613,3064,2,2,16166,Downtown,2
402371,3102,5,3.5,21619,Uptown,1
414797,3009,4,3,7683,Downtown,2
345855,2917,2,1.5,12571,Suburbs,3
300974,2909,2,1.5,12216,Uptown,1
457419,2906,6,3,16209,Downtown,2
424973,3019,5,1.5,14357,Downtown,2
439928,3027,5,2,16908,Downtown,2
389417,2901,5,2,12577,Suburbs,3
